Snap SubfindID redshift Mstar SFR IsCentral SubhaloMass SubhaloGrNr Mbh Mbhdot
40 4982 1.4955 1.512081e+10 0.0000 0 3.852960e+10 2 9.180112e+07 0.000001
40 4983 1.4955 7.816651e+09 0.0891 0 8.650553e+10 2 4.417140e+07 0.000265
40 4984 1.4955 5.527175e+09 0.2852 0 8.819641e+10 2 1.020446e+07 0.010460
40 4985 1.4955 4.845359e+09 9.8471 0 6.693226e+10 2 7.967660e+06 0.032956
40 4986 1.4955 7.980768e+09 0.0000 0 5.416985e+10 2 1.535830e+07 0.000000
40 4987 1.4955 1.171668e+10 0.0000 0 2.121028e+10 2 0.000000e+00 0.000000
40 4988 1.4955 1.670862e+09 0.0912 0 9.102348e+10 2 8.071270e+06 0.002887
40 4989 1.4955 3.816727e+09 0.0626 0 6.700843e+10 2 1.301841e+07 0.003379
40 4990 1.4955 2.853419e+09 0.2485 0 6.131815e+10 2 8.408952e+06 0.001625
40 4992 1.4955 1.401249e+09 0.0969 0 5.347586e+10 2 3.095752e+06 0.000596
40 4993 1.4955 6.857952e+09 0.0000 0 1.242039e+10 2 0.000000e+00 0.000000
40 4995 1.4955 4.136804e+09 0.0000 0 2.050838e+10 2 3.143618e+07 0.000000
40 4997 1.4955 3.377289e+09 0.0000 0 2.660596e+10 2 0.000000e+00 0.000000
40 4998 1.4955 3.052240e+09 0.0000 0 2.695242e+10 2 0.000000e+00 0.000000
40 5001 1.4955 2.275634e+09 0.0000 0 3.086624e+10 2 2.817132e+06 0.000000
40 5002 1.4955 1.610573e+09 0.0000 0 3.442375e+10 2 3.812696e+06 0.000000
40 5005 1.4955 2.565071e+09 0.0000 0 2.288422e+10 2 0.000000e+00 0.000000
40 5010 1.4955 3.127770e+09 0.0000 0 6.538885e+09 2 0.000000e+00 0.000000
40 5011 1.4955 1.262724e+09 0.0000 0 2.183011e+10 2 0.000000e+00 0.000000
40 5015 1.4955 3.054919e+09 0.0000 0 3.798023e+09 2 0.000000e+00 0.000000
40 5017 1.4955 1.956647e+09 0.0000 0 9.623443e+09 2 0.000000e+00 0.000000
40 5031 1.4955 1.891766e+09 0.0000 0 7.196225e+09 2 0.000000e+00 0.000000
40 5032 1.4955 1.307172e+09 0.0000 0 1.081091e+10 2 0.000000e+00 0.000000
40 5039 1.4955 1.066819e+09 0.3083 0 9.346036e+09 2 0.000000e+00 0.000000
40 5047 1.4955 1.573347e+09 0.0000 0 4.039546e+09 2 0.000000e+00 0.000000
40 5049 1.4955 1.645332e+09 0.0000 0 4.214274e+09 2 0.000000e+00 0.000000
40 7356 1.4955 4.634151e+11 7.4497 1 5.420013e+13 3 2.516335e+09 0.001637
40 7357 1.4955 3.906598e+10 0.0000 0 1.212129e+12 3 3.482529e+08 0.000431
40 7358 1.4955 8.510661e+10 0.0000 0 6.049456e+11 3 5.310595e+08 0.000291
40 7359 1.4955 2.415598e+10 0.0000 0 6.478833e+11 3 2.646329e+08 0.000025
40 7360 1.4955 4.964302e+10 0.0000 0 3.294476e+11 3 3.063094e+08 0.000019
40 7361 1.4955 3.049158e+10 0.0000 0 3.413462e+11 3 3.611562e+08 0.000105
40 7362 1.4955 3.053721e+10 3.0179 0 2.189061e+11 3 1.878616e+08 0.036818
40 7363 1.4955 3.003530e+10 0.0000 0 1.310963e+11 3 3.592182e+08 0.000014
40 7364 1.4955 1.800264e+10 0.0000 0 1.874787e+11 3 1.833165e+08 0.000234
40 7365 1.4955 1.546987e+10 4.3295 0 1.339029e+11 3 4.368359e+07 0.083975
40 7366 1.4955 2.430757e+09 2.6687 0 1.595519e+11 3 2.846017e+06 0.001427
40 7367 1.4955 2.128084e+10 0.0000 0 3.902744e+10 3 0.000000e+00 0.000000
40 7368 1.4955 1.344712e+10 0.0000 0 7.401534e+10 3 1.190155e+08 0.000001
40 7369 1.4955 1.259337e+10 0.1091 0 8.093266e+10 3 4.234302e+07 0.002331
40 7370 1.4955 6.773421e+09 4.4387 0 6.998002e+10 3 1.683565e+07 0.004110
40 7371 1.4955 1.193878e+09 0.6950 0 8.546662e+10 3 0.000000e+00 0.000000
40 7372 1.4955 2.737880e+09 1.0581 0 8.575220e+10 3 7.039776e+06 0.005843
40 7373 1.4955 9.701991e+09 0.0000 0 4.205376e+10 3 2.029527e+07 0.000000
40 7374 1.4955 9.021993e+09 0.0000 0 2.820250e+10 3 0.000000e+00 0.000000
40 7375 1.4955 6.387986e+09 0.0000 0 3.435434e+10 3 0.000000e+00 0.000000
40 7376 1.4955 6.939771e+09 0.0000 0 2.510002e+10 3 0.000000e+00 0.000000
40 7377 1.4955 3.651417e+09 0.1491 0 4.992524e+10 3 9.980999e+06 0.003516
40 7378 1.4955 8.745658e+09 0.5772 0 1.112222e+10 3 0.000000e+00 0.000000
40 7379 1.4955 5.946182e+09 0.0000 0 2.582345e+10 3 1.992504e+07 0.000000
40 7380 1.4955 6.140149e+09 0.0000 0 2.106099e+10 3 0.000000e+00 0.000000
40 7382 1.4955 6.564557e+09 0.0000 0 9.344354e+09 3 0.000000e+00 0.000000
40 7384 1.4955 6.040152e+09 0.0000 0 1.167122e+10 3 0.000000e+00 0.000000
40 7385 1.4955 6.126890e+09 0.0000 0 1.053942e+10 3 0.000000e+00 0.000000
40 7386 1.4955 1.702259e+09 0.0000 0 4.362945e+10 3 1.184390e+06 0.000000
40 7387 1.4955 5.539311e+09 0.0000 0 7.300252e+09 3 1.181084e+06 0.000000
